  C4 (  256.00 Hz) (reference note)
  C4 (  256.00 Hz) ->   F3 (  170.67 Hz), interval  -7, ratio  0.66667
 C#2 (   67.67 Hz) ->  G#2 (  101.50 Hz), interval  +7, ratio  1.50000
 G#2 (  101.50 Hz) ->  D#3 (  152.25 Hz), interval  +7, ratio  1.50000
 A#3 (  228.71 Hz) ->  A#2 (  114.41 Hz), interval -12, ratio  0.50022
 A#2 (  114.41 Hz) ->  D#2 (   76.27 Hz), interval  -7, ratio  0.66667
  D6 ( 1152.99 Hz) ->   D7 ( 2314.66 Hz), interval +12, ratio  2.00752
  D7 ( 2314.66 Hz) ->   G6 ( 1543.11 Hz), interval  -7, ratio  0.66667
  D7 ( 2314.66 Hz) ->   A7 ( 3471.99 Hz), interval  +7, ratio  1.50000
  A7 ( 3471.99 Hz) ->   A6 ( 1773.20 Hz), interval -12, ratio  0.51072
  A6 ( 1773.20 Hz) ->   E7 ( 2659.81 Hz), interval  +7, ratio  1.50000
  E7 ( 2659.81 Hz) ->   B7 ( 3989.71 Hz), interval  +7, ratio  1.50000
  B5 (  960.83 Hz) ->   B6 ( 1927.23 Hz), interval +12, ratio  2.00580
  B6 ( 1927.23 Hz) ->  F#7 ( 2890.84 Hz), interval  +7, ratio  1.50000
 F#7 ( 2890.84 Hz) ->  C#7 ( 2168.13 Hz), interval  -5, ratio  0.75000
 C#7 ( 2168.13 Hz) ->  G#7 ( 3252.20 Hz), interval  +7, ratio  1.50000
 G#5 (  812.03 Hz) ->  G#6 ( 1627.78 Hz), interval +12, ratio  2.00459
 G#6 ( 1627.78 Hz) ->  D#7 ( 2441.67 Hz), interval  +7, ratio  1.50000
 D#7 ( 2441.67 Hz) ->  A#7 ( 3662.50 Hz), interval  +7, ratio  1.50000
 A#7 ( 3662.50 Hz) ->  A#6 ( 1874.26 Hz), interval -12, ratio  0.51174
 A#6 ( 1874.26 Hz) ->   F7 ( 2811.39 Hz), interval  +7, ratio  1.50000
  F7 ( 2811.39 Hz) ->   C8 ( 4217.09 Hz), interval  +7, ratio  1.50000
  C6 ( 1029.98 Hz) ->   C7 ( 2066.54 Hz), interval +12, ratio  2.00640
  C7 ( 2066.54 Hz) ->   G7 ( 3099.81 Hz), interval  +7, ratio  1.50000
  A2 (  108.25 Hz) ->   A1 (   54.13 Hz), interval -12, ratio  0.50008
 G#2 (  101.50 Hz) ->  G#1 (   50.76 Hz), interval -12, ratio  0.50008
  G2 (   96.05 Hz) ->   G1 (   48.03 Hz), interval -12, ratio  0.50007
 F#2 (   90.20 Hz) ->  F#1 (   45.11 Hz), interval -12, ratio  0.50006
  F2 (   85.36 Hz) ->   F1 (   42.68 Hz), interval -12, ratio  0.50006
  E2 (   81.21 Hz) ->   E1 (   40.61 Hz), interval -12, ratio  0.50006
 D#2 (   76.27 Hz) ->  D#1 (   38.14 Hz), interval -12, ratio  0.50005
  D2 (   72.16 Hz) ->   D1 (   36.09 Hz), interval -12, ratio  0.50005
 C#2 (   67.67 Hz) ->  C#1 (   33.84 Hz), interval -12, ratio  0.50005
  C2 (   64.03 Hz) ->   C1 (   32.02 Hz), interval -12, ratio  0.50005
  B1 (   60.14 Hz) ->   B0 (   30.07 Hz), interval -12, ratio  0.50005
 A#1 (   56.91 Hz) ->  A#0 (   28.46 Hz), interval -12, ratio  0.50005
  A1 (   54.13 Hz) ->   A0 (   27.07 Hz), interval -12, ratio  0.50006
